id;license_id;status;license_key;start_date;end_date;main_key
1;96665;Strategist SDD;functionalities;2019-07-31T13:48:46;2019-07-30T21:58:03;infrastructure
2;16949;Maryland Configuration;Intranet Ergonomic Concrete Soap Zambian Kwacha;2019-07-31T09:47:14;2019-07-31T15:01:57;Bedfordshire
3;87737;program;Metal array France;2019-07-31T11:16:42;2019-07-30T22:58:12;open-source HDD
4;91324;Avon;Auto Loan Account olive;2019-07-31T16:41:31;2019-07-31T01:32:51;auxiliary Human
5;33799;incubate;interfaces;2019-07-31T02:15:58;2019-07-31T17:31:55;Dale
6;54264;stable Utah Computers;Licensed Plastic Pants;2019-07-31T05:30:17;2019-07-31T15:20:42;South Georgia and the South Sandwich Islands
7;76999;lavender;Club backing up;2019-07-31T13:43:46;2019-07-31T05:38:32;Peru deposit
8;72609;Strategist;card Licensed Cotton Ball;2019-07-31T07:59:24;2019-07-31T07:51:34;Gorgeous Electronics Brand
9;83598;Saudi Riyal paradigms;Corporate;2019-07-31T07:46:41;2019-07-31T12:23:20;Benin
10;71459;invoice;invoice;2019-07-31T05:59:38;2019-07-31T00:41:07;Jamaica Credit Card Account
